Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker buy base asset volume,Taker buy quote asset volume
2022-01-24,6.17e-05,6.38e-05,5.43e-05,6.21e-05,517852.94,1643068799999000000,29.88697891,4987,254345.13,14.74027346
2022-01-25,6.21e-05,6.65e-05,6.07e-05,6.24e-05,358150.11,1643155199999000000,22.6283088,3190,178008.4,11.26804923
2022-01-26,6.25e-05,7.15e-05,6.15e-05,6.78e-05,358886.82,1643241599999000000,23.20936911,5560,204949.43,13.25186638
2022-01-27,6.78e-05,7.21e-05,6.64e-05,6.7e-05,346944.75,1643327999999000000,23.92133018,5672,179055.53,12.37728288
2022-01-28,6.72e-05,7.57e-05,6.62e-05,7.5e-05,209655.84,1643414399999000000,14.69260612,5134,122511.22,8.59630243
2022-01-29,7.52e-05,8.6e-05,7.49e-05,8.33e-05,667886.82,1643500799999000000,54.14248007,8290,340331.33,27.5594988
2022-01-30,8.37e-05,9.92e-05,7.82e-05,8.16e-05,700232.6,1643587199999000000,61.61495441,8464,335051.05,29.56441492
2022-01-31,8.14e-05,9.64e-05,7.75e-05,9.07e-05,759074.35,1643673599999000000,66.19576699,9524,418996.43,36.38047993
2022-02-01,9.09e-05,0.0001043,8.95e-05,9.68e-05,597597.35,1643759999999000000,57.74902417,10162,318039.35,30.81305385
2022-02-02,9.68e-05,0.0001133,8.82e-05,8.83e-05,891279.26,1643846399999000000,87.83587979,12311,425854.25,42.24964342
2022-02-03,8.87e-05,9.43e-05,8.62e-05,9.03e-05,864435.71,1643932799999000000,77.75281904,6973,413659.13,37.3478292
2022-02-04,9e-05,9.18e-05,8.61e-05,8.69e-05,713184.85,1644019199999000000,63.33413674,9060,342627.46,30.49954644
2022-02-05,8.68e-05,9.62e-05,8.47e-05,8.95e-05,673838.8,1644105599999000000,61.30298115,9370,322239.08,29.44657818
2022-02-06,8.99e-05,9.26e-05,8.24e-05,8.43e-05,400066.36,1644191999999000000,35.23644264,6312,174690.28,15.44541988
2022-02-07,8.44e-05,9e-05,8.2e-05,8.31e-05,485010.37,1644278399999000000,41.46731751,7500,215717.0,18.51930578
2022-02-08,8.31e-05,8.38e-05,7.46e-05,7.69e-05,417394.17,1644364799999000000,32.5433786,5944,177815.28,13.90109946
2022-02-09,7.72e-05,7.9e-05,7.42e-05,7.51e-05,455928.39,1644451199999000000,34.6950324,3958,176325.37,13.42450085
2022-02-10,7.51e-05,7.62e-05,6.94e-05,7.06e-05,574393.67,1644537599999000000,41.81796774,4957,261742.75,19.17781337
2022-02-11,7.08e-05,7.22e-05,6.15e-05,6.33e-05,531816.11,1644623999999000000,36.08060833,3733,236609.24,16.154127
2022-02-12,6.34e-05,6.49e-05,6.03e-05,6.38e-05,509742.78,1644710399999000000,32.02651926,3158,268599.3,16.92302741
2022-02-13,6.39e-05,7.01e-05,6.07e-05,6.1e-05,666064.9,1644796799999000000,43.87824887,3865,299736.39,19.84966701
2022-02-14,6.12e-05,6.79e-05,6.07e-05,6.66e-05,402384.68,1644883199999000000,25.92942304,3791,184666.1,11.89135211
2022-02-15,6.67e-05,7.34e-05,6.67e-05,7.3e-05,554082.13,1644969599999000000,38.99525055,4454,243586.96,17.13898873
2022-02-16,7.31e-05,8.74e-05,6.88e-05,7.32e-05,952968.69,1645055999999000000,72.11197338,7982,483036.81,36.66114662
2022-02-17,7.28e-05,7.58e-05,6.79e-05,6.9e-05,366906.43,1645142399999000000,26.06614296,4589,151557.39,10.8262818
2022-02-18,6.88e-05,7.32e-05,6.72e-05,6.75e-05,403506.57,1645228799999000000,28.19878296,4905,257839.23,18.05994991
2022-02-19,6.74e-05,6.91e-05,6.39e-05,6.51e-05,322708.4,1645315199999000000,21.56605069,4996,223050.06,14.97538136
2022-02-20,6.53e-05,6.54e-05,6.04e-05,6.42e-05,328204.09,1645401599999000000,20.70588837,3088,176549.65,11.20686074
2022-02-21,6.42e-05,7.35e-05,6.26e-05,6.37e-05,889862.04,1645487999999000000,60.60423733,8816,532293.04,36.30402708
2022-02-22,6.4e-05,6.59e-05,6.04e-05,6.44e-05,462551.28,1645574399999000000,29.21969527,6027,229373.78,14.51109793
2022-02-23,6.44e-05,6.92e-05,6.31e-05,6.31e-05,472968.76,1645660799999000000,31.29927825,6043,220394.73,14.65239111
2022-02-24,6.31e-05,6.45e-05,5.79e-05,6.1e-05,879813.28,1645747199999000000,54.05884559,7138,403772.09,24.82479045
2022-02-25,6.13e-05,6.6e-05,6.03e-05,6.6e-05,446550.51,1645833599999000000,27.77822738,6505,237367.19,14.84197892
2022-02-26,6.59e-05,6.89e-05,6.25e-05,6.29e-05,277479.0,1645919999999000000,18.24396921,3832,123076.45,8.11706038
2022-02-27,6.29e-05,6.6e-05,6.06e-05,6.3e-05,440407.03,1646006399999000000,27.82011687,5302,244510.18,15.51882602
2022-02-28,6.32e-05,6.49e-05,5.92e-05,6.19e-05,443162.87,1646092799999000000,27.65489928,3492,137309.42,8.604138
2022-03-01,6.2e-05,6.76e-05,5.88e-05,6.71e-05,608401.72,1646179199999000000,38.60371987,8259,311680.56,19.83108376
2022-03-02,6.71e-05,7.54e-05,6.54e-05,6.58e-05,933276.79,1646265599999000000,65.30706191,12600,482476.2,33.86876709
2022-03-03,6.58e-05,6.75e-05,6.37e-05,6.5e-05,459453.29,1646351999999000000,29.96162138,5349,228209.63,14.93004257
2022-03-04,6.48e-05,6.53e-05,6.2e-05,6.39e-05,443057.63,1646438399999000000,28.12418742,3724,205958.15,13.08605138
2022-03-05,6.4e-05,6.83e-05,6.35e-05,6.65e-05,244360.07,1646524799999000000,16.19279762,5201,128632.02,8.51391682
2022-03-06,6.65e-05,6.68e-05,6.44e-05,6.6e-05,207397.87,1646611199999000000,13.55154702,2893,101920.37,6.67420548
2022-03-07,6.59e-05,6.66e-05,6.42e-05,6.53e-05,316502.25,1646697599999000000,20.69993805,5834,150076.49,9.8560171
